title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;Century;medium;simplified mediums;accessionNumber;galleryInformation
Fragment of Wall Hanging with confronted cocks and running dogs;;;Coptic;Egypt;Date: 4th–6th century Accession Number: 2011.363;/art/collection/search/479579?&ao=on&ft=Rooster&offset=100&rpp=100&pos=129;https://images.metmuseum.org/CRDImages/md/mobile-large/DP256957.jpg;md/web-additional/DP256957.jpg;md/web-large/DP256957.jpg;4th–6th century;5th century;Wool and linen;Wool;2.011.363;Not on view
Black Hamburgh, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.47;/art/collection/search/430314?&ao=on&ft=Rooster&offset=100&rpp=100&pos=130;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863167.jpg;dp/web-additional/DP863167.jpg;dp/web-large/DP863167.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.47;Not on view
Derbyshire Red Cap, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.27;/art/collection/search/430286?&ao=on&ft=Rooster&offset=100&rpp=100&pos=131;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863147.jpg;dp/web-additional/DP863147.jpg;dp/web-large/DP863147.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.27;Not on view
Brown-Breasted Red Game Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.41;/art/collection/search/430308?&ao=on&ft=Rooster&offset=100&rpp=100&pos=132;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863161.jpg;dp/web-additional/DP863161.jpg;dp/web-large/DP863161.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.41;Not on view
Brown Leghorn, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.35;/art/collection/search/430300?&ao=on&ft=Rooster&offset=100&rpp=100&pos=133;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863155.jpg;dp/web-additional/DP863155.jpg;dp/web-large/DP863155.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.35;Not on view
White Cochin Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.42;/art/collection/search/430309?&ao=on&ft=Rooster&offset=100&rpp=100&pos=134;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863162.jpg;dp/web-additional/DP863162.jpg;dp/web-large/DP863162.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.42;Not on view
Dark Brahma Cockerel, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.45;/art/collection/search/430312?&ao=on&ft=Rooster&offset=100&rpp=100&pos=135;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863165.jpg;dp/web-additional/DP863165.jpg;dp/web-large/DP863165.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.45;Not on view
Golden-Spangled Hamburgh Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.37;/art/collection/search/430302?&ao=on&ft=Rooster&offset=100&rpp=100&pos=136;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863157.jpg;dp/web-additional/DP863157.jpg;dp/web-large/DP863157.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.37;Not on view
Silky Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.1;/art/collection/search/430192?&ao=on&ft=Rooster&offset=100&rpp=100&pos=137;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863121.jpg;dp/web-additional/DP863121.jpg;dp/web-large/DP863121.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.1;Not on view
Andalusian Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.2;/art/collection/search/430194?&ao=on&ft=Rooster&offset=100&rpp=100&pos=138;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863122.jpg;dp/web-additional/DP863122.jpg;dp/web-large/DP863122.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.2;Not on view
Buff Cochin China Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.23;/art/collection/search/430281?&ao=on&ft=Rooster&offset=100&rpp=100&pos=139;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863143.jpg;dp/web-additional/DP863143.jpg;dp/web-large/DP863143.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.23;Not on view
Black-Breasted Red Game Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.20;/art/collection/search/430276?&ao=on&ft=Rooster&offset=100&rpp=100&pos=140;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863140.jpg;dp/web-additional/DP863140.jpg;dp/web-large/DP863140.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.20;Not on view
Partridge Cochin Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.18;/art/collection/search/430274?&ao=on&ft=Rooster&offset=100&rpp=100&pos=141;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863138.jpg;dp/web-additional/DP863138.jpg;dp/web-large/DP863138.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.18;Not on view
Rose-Combed Dorking Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.26;/art/collection/search/430285?&ao=on&ft=Rooster&offset=100&rpp=100&pos=142;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863146.jpg;dp/web-additional/DP863146.jpg;dp/web-large/DP863146.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.26;Not on view
Houdan Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.5;/art/collection/search/430259?&ao=on&ft=Rooster&offset=100&rpp=100&pos=143;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863125.jpg;dp/web-additional/DP863125.jpg;dp/web-large/DP863125.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.5;Not on view
Malay Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.4;/art/collection/search/430258?&ao=on&ft=Rooster&offset=100&rpp=100&pos=144;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863124.jpg;dp/web-additional/DP863124.jpg;dp/web-large/DP863124.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.4;Not on view
Wyandotte Cock (SIlver Laced), from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.24;/art/collection/search/430282?&ao=on&ft=Rooster&offset=100&rpp=100&pos=145;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863144.jpg;dp/web-additional/DP863144.jpg;dp/web-large/DP863144.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.24;Not on view
Pile Game Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.14;/art/collection/search/430270?&ao=on&ft=Rooster&offset=100&rpp=100&pos=146;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863134.jpg;dp/web-additional/DP863134.jpg;dp/web-large/DP863134.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.14;Not on view
White-Faced Black Spanish Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.25;/art/collection/search/430283?&ao=on&ft=Rooster&offset=100&rpp=100&pos=147;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863145.jpg;dp/web-additional/DP863145.jpg;dp/web-large/DP863145.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.25;Not on view
Ayam Jallak Malay Game Cock, from the Zoo Fowls series (E31) issued by The Philadelphia Confections Co. to promote Zoo Caramels;Issued by The Philadelphia Confections Co.;The Philadelphia Confections Co.;;;Issued by The Philadelphia Confections Co.Date: 1910 Accession Number: Burdick 314, E31.40;/art/collection/search/430305?&ao=on&ft=Rooster&offset=100&rpp=100&pos=148;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP863160.jpg;dp/web-additional/DP863160.jpg;dp/web-large/DP863160.jpg;1910;20th century;Commercial color lithograph;Lithograph;Burdick 314, E31.40;Not on view
Length of silk with Instruments of the Passion;;;Spanish;Spain;Date: ca. 1735 Accession Number: 41.53;/art/collection/search/226545?&ao=on&ft=Rooster&offset=100&rpp=100&pos=149;https://images.metmuseum.org/CRDImages/es/mobile-large/123498.jpg;es/web-additional/123498.jpg;es/web-large/123498.jpg;ca. 1735;18th century;Silk and metal thread;Silk;41.53;Not on view
Collage picture with scenes from the Story of Abraham;;;Austrian;Austria;Date: last quarter 18th century Accession Number: 64.101.1394;/art/collection/search/229083?&ao=on&ft=Rooster&offset=100&rpp=100&pos=150;https://images.metmuseum.org/CRDImages/es/mobile-large/DP7862.jpg;es/web-additional/DP7862.jpg;es/web-large/DP7862.jpg;last quarter 18th century;18th century;Paper, silk and isinglass;Paper;641.011.394;Not on view
Sword Guard (Tsuba);;;Japanese;Japan;Date: 19th century Accession Number: 46.122.193;/art/collection/search/26397?&ao=on&ft=Rooster&offset=100&rpp=100&pos=151;https://images.metmuseum.org/CRDImages/aa/mobile-large/46.122.193_001apr2014.jpg;aa/web-additional/46.122.193_001apr2014.jpg;aa/web-large/46.122.193_001apr2014.jpg;19th century;19th century;Copper-gold alloy (shakud?), gold, silver, copper-silver alloy (shibuichi), copper;Copper;46.122.193;Not on view
Sword Guard (Tsuba);;;Japanese;Japan;Date: 19th century Accession Number: 43.120.796;/art/collection/search/25879?&ao=on&ft=Rooster&offset=100&rpp=100&pos=152;https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.796_002jan2014.jpg;aa/web-additional/43.120.796_002jan2014.jpg;aa/web-large/43.120.796_002jan2014.jpg;19th century;19th century;Copper-silver alloy (shibuichi), gold, copper-gold alloy (shakud?);Copper;43.120.796;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.602;/art/collection/search/28398?&ao=on&ft=Rooster&offset=100&rpp=100&pos=153;https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.602_001AA2016.jpg;aa/web-additional/43.120.602_001AA2016.jpg;aa/web-large/43.120.602_001AA2016.jpg;ca. 1615–1868;17th century;Copper-silver alloy (shibuichi), gold, silver, copper, copper-gold alloy (shakud?);Copper;43.120.602;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.437;/art/collection/search/28282?&ao=on&ft=Rooster&offset=100&rpp=100&pos=154;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_437-001.jpg;aa/web-additional/LC-43_120_437-001.jpg;aa/web-large/LC-43_120_437-001.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), enameled cloisonné (shipp?), gold;Copper;43.120.437;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.495;/art/collection/search/28312?&ao=on&ft=Rooster&offset=100&rpp=100&pos=155;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_495-001.jpg;aa/web-additional/LC-43_120_495-001.jpg;aa/web-large/LC-43_120_495-001.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), gold, silver;Copper;43.120.495;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.486;/art/collection/search/28305?&ao=on&ft=Rooster&offset=100&rpp=100&pos=156;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_486-001.jpg;aa/web-additional/LC-43_120_486-001.jpg;aa/web-large/LC-43_120_486-001.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), gold, silver, copper;Copper;43.120.486;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.538;/art/collection/search/28346?&ao=on&ft=Rooster&offset=100&rpp=100&pos=157;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_538-001.jpg;aa/web-additional/LC-43_120_538-001.jpg;aa/web-large/LC-43_120_538-001.jpg;ca. 1615–1868;17th century;Copper-silver alloy (shibuichi), gold, copper, copper-gold alloy (shakud?);Copper;43.120.538;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.1260a, b;/art/collection/search/28892?&ao=on&ft=Rooster&offset=100&rpp=100&pos=158;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1260a_b-001.jpg;aa/web-additional/LC-43_120_1260a_b-001.jpg;aa/web-large/LC-43_120_1260a_b-001.jpg;ca. 1615–1868;17th century;Copper, copper-gold alloy (shakud?);Copper;43.120.1260a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.1259a, b;/art/collection/search/28891?&ao=on&ft=Rooster&offset=100&rpp=100&pos=159;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1259a_b-001.jpg;aa/web-additional/LC-43_120_1259a_b-001.jpg;aa/web-large/LC-43_120_1259a_b-001.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), gold;Copper;43.120.1259a, b;Not on view
Sword Guard (Tsuba);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.916;/art/collection/search/28596?&ao=on&ft=Rooster&offset=100&rpp=100&pos=160;https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.916_001apr2014.jpg;aa/web-additional/43.120.916_001apr2014.jpg;aa/web-large/43.120.916_001apr2014.jpg;ca. 1615–1868;17th century;Copper-silver alloy (shibuichi), gold, copper, silver, copper-gold alloy (shakud?);Copper;43.120.916;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.978a, b;/art/collection/search/28648?&ao=on&ft=Rooster&offset=100&rpp=100&pos=161;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_978a_b-001.jpg;aa/web-additional/LC-43_120_978a_b-001.jpg;aa/web-large/LC-43_120_978a_b-001.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), gold;Copper;43.120.978a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.1026a, b;/art/collection/search/28691?&ao=on&ft=Rooster&offset=100&rpp=100&pos=162;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1026a_b-001.jpg;aa/web-additional/LC-43_120_1026a_b-001.jpg;aa/web-large/LC-43_120_1026a_b-001.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), gold;Copper;43.120.1026a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.1269a, b;/art/collection/search/28901?&ao=on&ft=Rooster&offset=100&rpp=100&pos=163;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1269a_b-001.jpg;aa/web-additional/LC-43_120_1269a_b-001.jpg;aa/web-large/LC-43_120_1269a_b-001.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), gold;Copper;43.120.1269a, b;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.1318a, b;/art/collection/search/28942?&ao=on&ft=Rooster&offset=100&rpp=100&pos=164;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_1318a_b-001.jpg;aa/web-additional/LC-43_120_1318a_b-001.jpg;aa/web-large/LC-43_120_1318a_b-001.jpg;ca. 1615–1868;17th century;Copper-silver alloy (shibuichi), gold, copper-gold alloy (shakud?);Copper;43.120.1318a, b;Not on view
Pair of Sword-Grip Ornaments (Menuki);;;Japanese;Japan;Date: 18th century Accession Number: 38.55.74a, b;/art/collection/search/29495?&ao=on&ft=Rooster&offset=100&rpp=100&pos=165;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-38_55_74a_b-001.jpg;aa/web-additional/LC-38_55_74a_b-001.jpg;aa/web-large/LC-38_55_74a_b-001.jpg;18th century;18th century;Gold;Gold;38.55.74a, b;Not on view
Pair of Sword-Grip Ornaments (Menuki);;;Japanese;Japan;Date: 18th century Accession Number: 38.55.75a, b;/art/collection/search/29496?&ao=on&ft=Rooster&offset=100&rpp=100&pos=166;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-38_55_75a_b-001.jpg;aa/web-additional/LC-38_55_75a_b-001.jpg;aa/web-large/LC-38_55_75a_b-001.jpg;18th century;18th century;Gold;Gold;38.55.75a, b;Not on view
Sword Guard (Tsuba);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 46.122.216;/art/collection/search/35276?&ao=on&ft=Rooster&offset=100&rpp=100&pos=167;https://images.metmuseum.org/CRDImages/aa/mobile-large/46.122.216_001may2014.jpg;aa/web-additional/46.122.216_001may2014.jpg;aa/web-large/46.122.216_001may2014.jpg;ca. 1615–1868;17th century;Iron, copper;Iron;46.122.216;Not on view
Sword-Hilt Collar and Pommel (Fuchigashira);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 46.122.315a, b;/art/collection/search/35336?&ao=on&ft=Rooster&offset=100&rpp=100&pos=168;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-46_122_315a_b-001.jpg;aa/web-additional/LC-46_122_315a_b-001.jpg;aa/web-large/LC-46_122_315a_b-001.jpg;ca. 1615–1868;17th century;Sword Furniture-Fuchi-Kashira;Gold;46.122.315a, b;Not on view
Cock;;;British, Staffordshire;United Kingdom;Date: ca. 1790 Accession Number: 12.142.6;/art/collection/search/191969?&ao=on&ft=Rooster&offset=100&rpp=100&pos=169;https://images.metmuseum.org/CRDImages/es/mobile-large/DP-17550-010.jpg;es/web-additional/DP-17550-010.jpg;es/web-large/DP-17550-010.jpg;ca. 1790;18th century;Pottery, brown glaze;Pottery;12.142.6;Not on view
Dress panels (2);;;French;France;Date: third quarter 18th century Accession Number: 26.231.19, .20;/art/collection/search/221830?&ao=on&ft=Rooster&offset=100&rpp=100&pos=170;https://images.metmuseum.org/CRDImages/es/mobile-large/65181.jpg;es/web-additional/65181.jpg;es/web-large/65181.jpg;third quarter 18th century;18th century;Silk on silk, metal lace;Silk;26.231.19, .20;Not on view
Group of Fourteen Roundels for Jeu de Moulin;;;German;Germany;Date: 20th century Accession Number: 48.174.58a–n;/art/collection/search/199941?&ao=on&ft=Rooster&offset=100&rpp=100&pos=171;https://images.metmuseum.org/CRDImages/es/mobile-large/SFES2704D.jpg;es/web-additional/SFES2704D.jpg;es/web-large/SFES2704D.jpg;20th century;20th century;Rosewood;Wood;48.174.58a–n;Not on view
Purse;Harry Rosenfeld;Harry Rosenfeld;American;USA;Harry RosenfeldDate: 1943 Accession Number: C.I.54.24.10;/art/collection/search/117084?&ao=on&ft=Rooster&offset=100&rpp=100&pos=172;https://images.metmuseum.org/CRDImages/ci/mobile-large/CI54.24.10.jpg;ci/web-additional/CI54.24.10.jpg;ci/web-large/CI54.24.10.jpg;1943;20th century;silk;Silk;C.I.54.24.10;Not on view
Fan;;;American or European;USA;Date: 1800–1939 Accession Number: C.I.39.79.58;/art/collection/search/120603?&ao=on&ft=Rooster&offset=100&rpp=100&pos=173;https://images.metmuseum.org/CRDImages/ci/mobile-large/CI39.79.58.jpg;ci/web-additional/CI39.79.58.jpg;ci/web-large/CI39.79.58.jpg;1800–1939;19th century;paper;Paper;C.I.39.79.58;Not on view
Button;;;French;France;Date: ca. 1910 Accession Number: 51.47.2837–.2850;/art/collection/search/127618?&ao=on&ft=Rooster&offset=100&rpp=100&pos=174;https://images.metmuseum.org/CRDImages/ci/mobile-large/51.47.2837–.2850.jpg;ci/web-additional/51.47.2837–.2850.jpg;ci/web-large/51.47.2837–.2850.jpg;ca. 1910;20th century;[no medium available];[no medium available];51.47.2837–.2850;Not on view
"""La Danse Savoyarde""";Manufactured by Lecler, Père et Fils;Lecler, Père et Fils;French, Pont de la Maye;France;Manufactured by Lecler, Père et FilsDate: ca. 1790 Accession Number: 13.166.1;/art/collection/search/219574?&ao=on&ft=Rooster&offset=100&rpp=100&pos=175;https://images.metmuseum.org/CRDImages/es/mobile-large/18871.jpg;es/web-additional/18871.jpg;es/web-large/18871.jpg;ca. 1790;18th century;Cotton;Cotton;13.166.1;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: cda. 1615–1868 Accession Number: 43.120.49;/art/collection/search/28032?&ao=on&ft=Rooster&offset=100&rpp=100&pos=176;https://images.metmuseum.org/CRDImages/aa/mobile-large/LC-43_120_49-001.jpg;aa/web-additional/LC-43_120_49-001.jpg;aa/web-large/LC-43_120_49-001.jpg;cda. 1615–1868;17th century;Copper-gold alloy (shakud?), gold;Copper;43.120.49;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.174;/art/collection/search/28120?&ao=on&ft=Rooster&offset=100&rpp=100&pos=177;https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.174_002AA2016.jpg;aa/web-additional/43.120.174_002AA2016.jpg;aa/web-large/43.120.174_002AA2016.jpg;ca. 1615–1868;17th century;Gold, copper-gold alloy (shakud?);Gold;43.120.174;Not on view
Knife Handle (Kozuka);;;Japanese;Japan;Date: ca. 1615–1868 Accession Number: 43.120.173;/art/collection/search/28119?&ao=on&ft=Rooster&offset=100&rpp=100&pos=178;https://images.metmuseum.org/CRDImages/aa/mobile-large/43.120.173_001jan2014.jpg;aa/web-additional/43.120.173_001jan2014.jpg;aa/web-large/43.120.173_001jan2014.jpg;ca. 1615–1868;17th century;Copper-gold alloy (shakud?), gold, silver;Copper;43.120.173;Not on view
Sword Guard (Tsuba);;;Japanese;Japan;Date: 18th century Accession Number: 36.120.72;/art/collection/search/30073?&ao=on&ft=Rooster&offset=100&rpp=100&pos=179;https://images.metmuseum.org/CRDImages/aa/mobile-large/36.120.72_001mar2014.jpg;aa/web-additional/36.120.72_001mar2014.jpg;aa/web-large/36.120.72_001mar2014.jpg;18th century;18th century;Iron, gold, silver, copper;Iron;36.120.72;Not on view
Broadside with 48 scenes telling the story of the chicken (social advancement and decline);Juan Llorens (Spanish, active Barcelona, ca. 1855–70);Juan Llorens;;;Juan Llorens (Spanish, active Barcelona, ca. 1855–70) Date: ca. 1860–70 Accession Number: 1978.643.26(4);/art/collection/search/359070?&ao=on&ft=Rooster&offset=100&rpp=100&pos=180;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP875715.jpg;dp/web-additional/DP875715.jpg;dp/web-large/DP875715.jpg;ca. 1860–70;19th century;Wood engraving and letterpress;Wood;1978.643.26(4);Not on view
Coat of Arms with a Lion and a Cock;Albrecht Dürer (German, Nuremberg 1471–1528 Nuremberg);Albrecht Dürer;;;Albrecht Dürer (German, Nuremberg 1471–1528 Nuremberg) Date: ca. 1502 Accession Number: 33.79.11;/art/collection/search/391113?&ao=on&ft=Rooster&offset=100&rpp=100&pos=181;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP815410.jpg;dp/web-additional/DP815410.jpg;dp/web-large/DP815410.jpg;ca. 1502;16th century;Engraving;Engraving;33.79.11;Not on view
Characters, from Jack and the Giant Killer, Plate 6 for a Toy Theater;Benjamin Pollock (British, 1857–1937);Benjamin Pollock;;;Benjamin Pollock (British, 1857–1937) Date: 1870–90 Accession Number: 52.541.1(6);/art/collection/search/682990?&ao=on&ft=Rooster&offset=100&rpp=100&pos=182;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP847979.jpg;dp/web-additional/DP847979.jpg;dp/web-large/DP847979.jpg;1870–90;19th century;Lithograph;Lithograph;52.541.1(6);Not on view
Basin;Accession Number: 14.40.199;;China;China;Accession Number: 14.40.199;/art/collection/search/46110?&ao=on&ft=Rooster&offset=100&rpp=100&pos=183;https://images.metmuseum.org/CRDImages/as/mobile-large/20735.jpg;as/web-additional/20735.jpg;as/web-large/20735.jpg;;;Porcelain painted in overglaze famille rose enamels;Porcelain;14.40.199;Not on view
Place Pasdeloup No. 1;Stuart Davis (American, Philadelphia, Pennsylvania 1892–1964 New York);Stuart Davis;;;Stuart Davis (American, Philadelphia, Pennsylvania 1892–1964 New York) Date: 1929 Accession Number: 55.620.1;/art/collection/search/373365?&ao=on&ft=Rooster&offset=100&rpp=100&pos=184;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP223682.jpg;dp/web-additional/DP223682.jpg;dp/web-large/DP223682.jpg;1929;20th century;Lithograph;Lithograph;55.620.1;Not on view
