title;description;artist;culture;country;teaserText;url;image;regularImage;largeImage;date;Century;medium;simplified mediums;accessionNumber;galleryInformation
Lucidario di Recami, page 11 (verso);Iseppo Foresto (Italian, active Venice, 1557);Iseppo Foresto;;;Iseppo Foresto (Italian, active Venice, 1557) Date: 1564 Accession Number: 21.45.3(22);/art/collection/search/660847?&ao=on&ft=Rooster&offset=400&rpp=100&pos=476;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP362125.jpg;dp/web-additional/DP362125.jpg;dp/web-large/DP362125.jpg;1564;16th century;Woodcut;Wood;21.45.3(22);Not on view
Two musicians and a man carrying on his head a rooster in cage, from a group of drawings depicting Peruvian dress;Attributed to Francisco (Pancho) Fierro (African Peruvian, 1807–1879);Francisco (Pancho) Fierro;;;Attributed to Francisco (Pancho) Fierro (African Peruvian, 1807–1879) Date: ca. 1848 Accession Number: 38.145.459;/art/collection/search/819244?&ao=on&ft=Rooster&offset=400&rpp=100&pos=477;https://images.metmuseum.org/CRDImages/dp/mobile-large/DP883513.jpg;dp/web-additional/DP883513.jpg;dp/web-large/DP883513.jpg;ca. 1848;19th century;Watercolor;Watercolor;38.145.459;Not on view
View of Lake Tai;Wen Zhengming (Chinese, 1470–1559);Wen Zhengming;China;China;Wen Zhengming (Chinese, 1470–1559) Date: dated 1543 Accession Number: 1982.7.1;/art/collection/search/45779?&ao=on&ft=Rooster&offset=400&rpp=100&pos=478;https://images.metmuseum.org/CRDImages/as/mobile-large/DP153574.jpg;as/web-additional/DP153574.jpg;as/web-large/DP153574.jpg;dated 1543;16th century;"Folding fan mounted as an album leaf; ink and color on gold-flecked paper";Paper;01.07.1982;Not on view
Terracotta fragment of a neck-amphora (jar);;;Greek, Attic;Greece;Date: sixth century BCE Accession Number: 2011.604.3.759;/art/collection/search/750076?&ao=on&ft=Rooster&offset=400&rpp=100&pos=479;https://images.metmuseum.org/CRDImages/gr/mobile-large/DVB12281_1_ff.jpg;gr/web-additional/DVB12281_1_ff.jpg;gr/web-large/DVB12281_1_ff.jpg;sixth century BCE;6th century BCE;Terracotta;Terracotta;2011.604.3.759;Not on view
Coverlet;David Daniel Haring (1800–1889);David Daniel Haring;American;USA;David Daniel Haring (1800–1889) Date: 1834 Accession Number: 1988.127;/art/collection/search/13646?&ao=on&ft=Rooster&offset=400&rpp=100&pos=480;https://images.metmuseum.org/CRDImages/ad/mobile-large/DT5924.jpg;ad/web-additional/DT5924.jpg;ad/web-large/DT5924.jpg;1834;19th century;"Cotton and wool; Doublecloth, woven on a hand-loom with a
 Jacquard attachment";Cotton;1.988.127;Not on view
"""Isfandiyar""s Fifth Course: He Slays the Simurgh"", Folio from a Shahnama (Book of Kings)";"Abu""l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus)";Abu'l Qasim Firdausi;;;"Abu""l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus) Date: ca. 1330–40 Accession Number: 1974.290.28";/art/collection/search/452653?&ao=on&ft=Rooster&offset=400&rpp=100&pos=481;https://images.metmuseum.org/CRDImages/is/mobile-large/DP108576.jpg;is/web-additional/DP108576.jpg;is/web-large/DP108576.jpg;ca. 1330–40;14th century ;Ink, opaque watercolor, gold, and silver on paper;Paper;1974.290.28;Not on view
Necktie;The Brandon Shop (American);The Brandon Shop;American;USA;The Brandon Shop (American) Date: ca. 1962 Accession Number: 2009.300.7350;/art/collection/search/174442?&ao=on&ft=Rooster&offset=400&rpp=100&pos=482;https://images.metmuseum.org/CRDImages/ci/mobile-large/64.123.36_CP1.jpg;ci/web-additional/64.123.36_CP1.jpg;ci/web-large/64.123.36_CP1.jpg;ca. 1962;20th century;Wool;Wool;20.093.007.350;Not on view
Epinette des Vosges;"Amant Constant (Amé) Lambert (French, La Girmont 1843–1908 Val-d""Ajol)";Amant Constant (Amé) Lambert;French;France;"Amant Constant (Amé) Lambert (French, La Girmont 1843–1908 Val-d""Ajol) Date: late 19th century Accession Number: 46.34.30";/art/collection/search/505254?&ao=on&ft=Rooster&offset=400&rpp=100&pos=483;https://images.metmuseum.org/CRDImages/mi/mobile-large/140357.jpg;mi/web-additional/140357.jpg;mi/web-large/140357.jpg;late 19th century;19th century;wood, metal;Wood;46.34.30;Not on view
Épinette des Vosges;"Amant Constant (Amé) Lambert (French, La Girmont 1843–1908 Val-d""Ajol)";Amant Constant (Amé) Lambert;French;France;"Amant Constant (Amé) Lambert (French, La Girmont 1843–1908 Val-d""Ajol) Date: late 19th century Accession Number: 89.4.992";/art/collection/search/501602?&ao=on&ft=Rooster&offset=400&rpp=100&pos=484;https://images.metmuseum.org/CRDImages/mi/mobile-large/MUS57A.jpg;mi/web-additional/MUS57A.jpg;mi/web-large/MUS57A.jpg;late 19th century;19th century;wood, metal;Wood;89.4.992;Not on view
Terracotta fragments of a dinos (bowl for mixing wine and water);;;Etruscan;Italy;Date: mid-6th century BCE Accession Number: 2011.604.10.276a–j;/art/collection/search/768207?&ao=on&ft=Rooster&offset=400&rpp=100&pos=485;https://images.metmuseum.org/CRDImages/gr/mobile-large/DVB16449_01_ff.jpg;gr/web-additional/DVB16449_01_ff.jpg;gr/web-large/DVB16449_01_ff.jpg;mid-6th century BCE;6th century BCE;Terracotta;Terracotta;2011.604.10.276a–j;Not on view
